faiss_id,passage_id
721,bb_7364::r332::c7
722,bb_7364::r332::c8
723,bb_7364::r332::c9
724,bb_7450::r145::c0
725,bb_7450::r145::c1
726,bb_8203::r385::c0
727,bb_8203::r385::c1
728,bb_8203::r385::c10
729,bb_8203::r385::c11
730,bb_8203::r385::c12
731,bb_8203::r385::c13
732,bb_8203::r385::c14
733,bb_8203::r385::c2
734,bb_8203::r385::c3
735,bb_8203::r385::c4
736,bb_8203::r385::c5
737,bb_8203::r385::c6
738,bb_8203::r385::c7
739,bb_8203::r385::c8
740,bb_8203::r385::c9
741,bb_8401::r56::c0
742,bb_8401::r56::c1
743,bb_8401::r56::c10
744,bb_8401::r56::c11
745,bb_8401::r56::c2
746,bb_8401::r56::c3
747,bb_8401::r56::c4
748,bb_8401::r56::c5
749,bb_8401::r56::c6
750,bb_8401::r56::c7
751,bb_8401::r56::c8
752,bb_8401::r56::c9
753,bb_8443::r368::c0
754,bb_8443::r368::c1
755,bb_8521::r282::c0
756,bb_8521::r282::c1
757,bb_8521::r282::c10
758,bb_8521::r282::c11
759,bb_8521::r282::c12
760,bb_8521::r282::c13
761,bb_8521::r282::c14
762,bb_8521::r282::c15
763,bb_8521::r282::c2
764,bb_8521::r282::c3
765,bb_8521::r282::c4
766,bb_8521::r282::c5
767,bb_8521::r282::c6
768,bb_8521::r282::c7
769,bb_8521::r282::c8
770,bb_8521::r282::c9
771,bb_8893::r159::c0
772,bb_8893::r159::c1
773,bb_9192::r54::c0
774,bb_9192::r54::c1
775,bb_9192::r54::c2
776,bb_9192::r54::c3
777,bb_9192::r54::c4
778,bb_9204::r262::c0
779,bb_9204::r262::c1
780,bb_9204::r262::c2
781,bb_9204::r262::c3
782,bb_9204::r262::c4
783,bb_92::r429::c0
784,bb_92::r429::c1
785,bb_92::r429::c2
786,bb_92::r429::c3
787,bb_92::r429::c4
788,bb_92::r429::c5
789,bb_92::r429::c6
790,bb_92::r429::c7
791,bb_92::r429::c8
792,bb_9396::r430::c0
793,bb_9396::r430::c1
794,bb_9396::r430::c10
795,bb_9396::r430::c11
796,bb_9396::r430::c12
797,bb_9396::r430::c13
798,bb_9396::r430::c14
799,bb_9396::r430::c15
800,bb_9396::r430::c16
801,bb_9396::r430::c17
802,bb_9396::r430::c18
803,bb_9396::r430::c19
804,bb_9396::r430::c2
805,bb_9396::r430::c20
806,bb_9396::r430::c21
807,bb_9396::r430::c22
808,bb_9396::r430::c23
809,bb_9396::r430::c24
810,bb_9396::r430::c25
811,bb_9396::r430::c26
812,bb_9396::r430::c27
813,bb_9396::r430::c3
814,bb_9396::r430::c4
815,bb_9396::r430::c5
816,bb_9396::r430::c6
817,bb_9396::r430::c7
818,bb_9396::r430::c8
819,bb_9396::r430::c9
820,bb_9418::r116::c0
821,bb_9418::r116::c1
822,bb_9418::r116::c10
823,bb_9418::r116::c11
824,bb_9418::r116::c12
825,bb_9418::r116::c13
826,bb_9418::r116::c14
827,bb_9418::r116::c15
828,bb_9418::r116::c2
829,bb_9418::r116::c3
830,bb_9418::r116::c4
831,bb_9418::r116::c5
832,bb_9418::r116::c6
833,bb_9418::r116::c7
834,bb_9418::r116::c8
835,bb_9418::r116::c9
836,bb_9453::r105::c0
837,bb_9453::r105::c1
838,bb_9453::r105::c10
839,bb_9453::r105::c11
840,bb_9453::r105::c12
841,bb_9453::r105::c13
842,bb_9453::r105::c2
843,bb_9453::r105::c3
844,bb_9453::r105::c4
845,bb_9453::r105::c5
846,bb_9453::r105::c6
847,bb_9453::r105::c7
848,bb_9453::r105::c8
849,bb_9453::r105::c9
850,bt_1131::r136::c0
851,bt_1131::r136::c1
852,bt_1131::r136::c10
853,bt_1131::r136::c11
854,bt_1131::r136::c12
855,bt_1131::r136::c13
856,bt_1131::r136::c14
857,bt_1131::r136::c15
858,bt_1131::r136::c16
859,bt_1131::r136::c2
860,bt_1131::r136::c3
861,bt_1131::r136::c4
862,bt_1131::r136::c5
863,bt_1131::r136::c6
864,bt_1131::r136::c7
865,bt_1131::r136::c8
866,bt_1131::r136::c9
867,bt_1215::r166::c0
868,bt_1215::r166::c1
869,bt_1215::r166::c10
870,bt_1215::r166::c11
871,bt_1215::r166::c12
872,bt_1215::r166::c13
873,bt_1215::r166::c14
874,bt_1215::r166::c15
875,bt_1215::r166::c16
876,bt_1215::r166::c17
877,bt_1215::r166::c18
878,bt_1215::r166::c19
879,bt_1215::r166::c2
880,bt_1215::r166::c3
881,bt_1215::r166::c4
882,bt_1215::r166::c5
883,bt_1215::r166::c6
884,bt_1215::r166::c7
885,bt_1215::r166::c8
886,bt_1215::r166::c9
887,bt_1356::r335::c0
888,bt_1356::r335::c1
889,bt_1356::r335::c2
890,bt_1568::r306::c0
891,bt_1568::r306::c1
892,bt_1568::r306::c2
893,bt_1568::r306::c3
894,bt_1568::r306::c4
895,bt_1568::r306::c5
896,bt_1568::r306::c6
897,bt_1568::r306::c7
898,bt_1568::r306::c8
899,bt_1861::r433::c0
900,bt_1861::r433::c1
901,bt_1861::r433::c2
902,bt_239::r3::c0
903,bt_239::r3::c1
904,bt_239::r3::c10
905,bt_239::r3::c11
906,bt_239::r3::c12
907,bt_239::r3::c13
908,bt_239::r3::c14
909,bt_239::r3::c15
910,bt_239::r3::c16
911,bt_239::r3::c2
912,bt_239::r3::c3
913,bt_239::r3::c4
914,bt_239::r3::c5
915,bt_239::r3::c6
916,bt_239::r3::c7
917,bt_239::r3::c8
918,bt_239::r3::c9
919,bt_2595::r253::c0
920,bt_2595::r253::c1
921,bt_2595::r253::c10
922,bt_2595::r253::c11
923,bt_2595::r253::c12
924,bt_2595::r253::c13
925,bt_2595::r253::c14
926,bt_2595::r253::c15
927,bt_2595::r253::c16
928,bt_2595::r253::c17
929,bt_2595::r253::c18
930,bt_2595::r253::c19
931,bt_2595::r253::c2
932,bt_2595::r253::c20
933,bt_2595::r253::c21
934,bt_2595::r253::c22
935,bt_2595::r253::c3
936,bt_2595::r253::c4
937,bt_2595::r253::c5
938,bt_2595::r253::c6
939,bt_2595::r253::c7
940,bt_2595::r253::c8
941,bt_2595::r253::c9
942,bt_2628::r67::c0
943,bt_2628::r67::c1
944,bt_2628::r67::c10
945,bt_2628::r67::c11
946,bt_2628::r67::c12
947,bt_2628::r67::c13
948,bt_2628::r67::c14
949,bt_2628::r67::c15
950,bt_2628::r67::c16
951,bt_2628::r67::c17
952,bt_2628::r67::c18
953,bt_2628::r67::c19
954,bt_2628::r67::c2
955,bt_2628::r67::c20
956,bt_2628::r67::c21
957,bt_2628::r67::c3
958,bt_2628::r67::c4
959,bt_2628::r67::c5
960,bt_2628::r67::c6
961,bt_2628::r67::c7
962,bt_2628::r67::c8
963,bt_2628::r67::c9
964,bt_2705::r316::c0
965,bt_2705::r316::c1
966,bt_2705::r316::c10
967,bt_2705::r316::c11
968,bt_2705::r316::c12
969,bt_2705::r316::c13
970,bt_2705::r316::c14
971,bt_2705::r316::c15
972,bt_2705::r316::c16
973,bt_2705::r316::c17
974,bt_2705::r316::c18
975,bt_2705::r316::c19
976,bt_2705::r316::c2
977,bt_2705::r316::c20
978,bt_2705::r316::c21
979,bt_2705::r316::c22
980,bt_2705::r316::c23
981,bt_2705::r316::c24
982,bt_2705::r316::c25
983,bt_2705::r316::c26
984,bt_2705::r316::c27
985,bt_2705::r316::c28
986,bt_2705::r316::c29
987,bt_2705::r316::c3
988,bt_2705::r316::c30
989,bt_2705::r316::c31
990,bt_2705::r316::c4
991,bt_2705::r316::c5
992,bt_2705::r316::c6
993,bt_2705::r316::c7
994,bt_2705::r316::c8
995,bt_2705::r316::c9
996,bt_3259::r102::c0
997,bt_3259::r102::c1
998,bt_3259::r102::c10
